"UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST","DEST_STATE_ABR","MONTH",
"5J (1)","Private Jet Expeditions",13930,"ORD","IL",10800,"BUR","CA",11,
"5J (1)","Private Jet Expeditions",13204,"MCO","FL",14100,"PHL","PA",2,
"5X","United Parcel Service",10821,"BWI","MD",14843,"SJU","PR",9,
"5X","United Parcel Service",14843,"SJU","PR",10821,"BWI","MD",10,
"5X","United Parcel Service",10821,"BWI","MD",14843,"SJU","PR",10,
"5X","United Parcel Service",10299,"ANC","AK",12892,"LAX","CA",8,
"5X","United Parcel Service",14843,"SJU","PR",12478,"JFK","NY",9,
"8C","Air Transport International",14843,"SJU","PR",14730,"SDF","KY",11,
"8C","Air Transport International",10821,"BWI","MD",14843,"SJU","PR",11,
"9R","Flagship Express Services",10529,"BDL","CT",10933,"CEF","MA",2,
"9R","Flagship Express Services",10299,"ANC","AK",11267,"DAY","OH",3,
"9R","Flagship Express Services",10299,"ANC","AK",12892,"LAX","CA",3,
"9R","Flagship Express Services",10933,"CEF","MA",11267,"DAY","OH",3,
"9R","Flagship Express Services",10933,"CEF","MA",11267,"DAY","OH",2,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",9,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",9,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",9,
"9R","Flagship Express Services",13495,"MSY","LA",13244,"MEM","TN",7,
"9R","Flagship Express Services",14100,"PHL","PA",14843,"SJU","PR",7,
"9R","Flagship Express Services",11267,"DAY","OH",14730,"SDF","KY",9,
"9R","Flagship Express Services",11267,"DAY","OH",15070,"SWF","NY",9,
"9R","Flagship Express Services",12892,"LAX","CA",11267,"DAY","OH",12,
"9R","Flagship Express Services",10299,"ANC","AK",11267,"DAY","OH",4,
"9R","Flagship Express Services",10299,"ANC","AK",12892,"LAX","CA",4,
"9R","Flagship Express Services",10933,"CEF","MA",11267,"DAY","OH",4,
"9R","Flagship Express Services",10933,"CEF","MA",14100,"PHL","PA",4,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",4,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",4,
"9R","Flagship Express Services",11267,"DAY","OH",10933,"CEF","MA",4,
"9R","Flagship Express Services",11267,"DAY","OH",12892,"LAX","CA",4,
"9R","Flagship Express Services",11267,"DAY","OH",12892,"LAX","CA",4,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",10,
"9R","Flagship Express Services",11267,"DAY","OH",10299,"ANC","AK",10,
"9R","Flagship Express Services",11267,"DAY","OH",14100,"PHL","PA",10,
"9R","Flagship Express Services",11267,"DAY","OH",14492,"RDU","NC",10,
"9R","Flagship Express Services",11267,"DAY","OH",14730,"SDF","KY",10,
"9R","Flagship Express Services",11267,"DAY","OH",15070,"SWF","NY",10,
